Chromosome	physical_position(start)	physical_position(end)	gene_name
23	7034574	7052996	DSB_MHCIIb(cl)_+
23	7071118	7079464	BOLA-DYA_MHCIIb(cl)_+
23	7095520	7106588	BOLA-DYB_MHCIIb(cl)_-
23	7113058	7123883	BOLA-DOB_MHCIIb(non-cl)_-
23	7245582	7254835	BOLA-DMB_MHCIIb(non-cl)_-
23	7262678	7270167	BOLA-DMA_MHCIIb(non-cl)_-
23	7314559	7324441	BOLA-DOA_MHCIIb(non-cl)_-
23	25582083	25590209	BOLA-DQA2_MHCIIa(cl)_-
23	25606502	25623150	BOLA-DQB_MHCIIa(cl)_+
23	25635255	25644878	BOLA-DQA5_MHCIIa(cl)_-
23	25671686	25681506	BLA-DQB-2_MHCIIa(cl)_+
23	25690259	25696296	SLA-DQDa-like_MHCIIa(cl)_-
23	25722715	25736337	BOLA-DRB3_MHCIIa(cl)_+
23	25794927	25829806	BOLA-DRB2_MHCIIa(cl)_+
23	25836353	25844155	BOLA-DRA_MHCIIa(cl)_-
